municipality_code,latitude,longitude
02202,40.55062,140.51337
02202,40.55075,140.4692
02202,40.55092,140.49951
02202,40.55094,140.4304
02202,40.55118,140.52871
02202,40.5512,140.50878
02202,40.55131,140.56721
02202,40.55142,140.52774
02202,40.55164,140.53651
02202,40.55165,140.52048
02202,40.55205,140.57063
02202,40.55208,140.50546
02202,40.5521,140.53949
02202,40.55211,140.56274
02202,40.55232,140.53027
02202,40.55238,140.46035
02202,40.5524,140.56852
02202,40.55253,140.50121
02202,40.5526,140.51552
02202,40.55267,140.56662
02202,40.55275,140.55635
02202,40.5528,140.36364
02202,40.55297,140.58234
02202,40.55322,140.54161
02202,40.55323,140.48417
02202,40.55327,140.51304
02202,40.55343,140.52637
02202,40.55345,140.55283
02202,40.55346,140.43439
02202,40.55356,140.56242
02202,40.55362,140.53079
02202,40.55375,140.49694
02202,40.55385,140.56931
02202,40.55388,140.54626
02202,40.55408,140.47243
02202,40.55424,140.57348
02202,40.55447,140.55064
02202,40.55449,140.54265
02202,40.5546,140.50427
02202,40.55474,140.47559
02202,40.55477,140.51431
02202,40.55479,140.50301
02202,40.55489,140.5663
02202,40.55491,140.43233
02202,40.55492,140.51986
02202,40.55495,140.52864
02202,40.5553,140.50631
02202,40.55544,140.43352
02202,40.5555,140.53143
02202,40.55562,140.55508
02202,40.55572,140.48652
02202,40.55584,140.57106
02202,40.55602,140.5724
02202,40.55625,140.51607
02202,40.5563,140.52248
